type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,Queried_NAICS,fullParentPathCode,archiveDate,fullParentPathName,award,baseType,active,typeOfSetAside,additionalInfoLink,organizationType,uiLink,resourceLinks
Presolicitation,Y--GRSM NEWFOUND GAP WASTEWATER SYSTEM WORK,Not Specified,,,140P5326R0019,,Total Small Business Set-Aside (FAR 19.5),,2026-05-11,237110,237110,014.1443.140P54,2026-10-30,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.SER SOUTH MABO (54000)",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/dece9e97656d4302b0123394315b863c/view,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b7ab15e1f1ba4b76b07f282f2ed7ff17/download']
Solicitation,Z--BRVB - Entry Courtyard Improvements,"Topeka, Kansas",,,140P6026B0004,,Total Small Business Set-Aside (FAR 19.5),2026-07-02T09:00:00-05:00,2026-06-09,237310,237310,014.1443.140P60,2026-07-17,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR MIDWEST REGION(60000)",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/c7539c91aaed45ca951cda7aa06680fb/view,
Presolicitation,Various Fencing for Gate Perimeter Security - Sources Sought - Pre-Solicitation ,Not Specified,,,W91RUS26R7701,,Total Small Business Set-Aside (FAR 19.5),2026-05-26T12:00:00-07:00,2026-05-12,237990,237990,021.2100.AMC.ACC.ACC-CTRS.ACC-APG.W91RUS,2027-05-12,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-APG.W6QK ACC-APG CONT CT SW SECTOR,,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/5cfb08d438ad480b9e3605f9b329309e/view,
Presolicitation,Z2LC--Campus Sinkhole Repair  552-26-506,"Dayton, Ohio",,"$500,000.00 and $1,000,000.00 | $500,000.00 | $1,000,000.00",36C25026B0045,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-18T15:00:00-04:00,2026-05-14,237110,237110,036.3600.36C250,2026-08-17,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.250-NETWORK CONTRACT OFFICE 10 (36C250)",{'awardee': {}},Presolicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/6cc66252a2dc4c15bda3dd7f05767469/view,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/60da70921290460ba75bd358560dcc2d/download']
Solicitation,Y--FOMA REPLACE NATURE TRAIL BOARDWALK RS,Not Specified,,,140P5426R0010,,Women-Owned Small Business,2026-06-26T13:00:00-04:00,2026-06-11,237990,237990,014.1443.140P54,2026-07-11,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.SER SOUTH MABO (54000)",,Solicitation,Yes,WOSB,,OFFICE,https://sam.gov/workspace/contract/opp/c6231ebe2f3f48f8b250321d373bb72f/view,
Solicitation,Crack and Fog Sealing Multiple Locations,Not Specified,,$45M,140P6426Q0073,,Total Small Business Set-Aside (FAR 19.5),2026-06-25T12:00:00-04:00,2026-05-20,237310,237310,014.1443.140P64,2026-09-30,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR OHIO(64000)",,Presolicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/83e009c5b2e94106a314dd7d1f30a0b3/view,
Solicitation,"Repair and Widen Taxiways Phase III, PSTE 162013",Not Specified,,"$10,000,000.00 and $25,000,000.00 | $45,000,000.00 | $10,000,000.00",W50S9526BA002,,Total Small Business Set-Aside (FAR 19.5),2026-06-23T14:00:00-04:00,2026-05-19,237310,237310,021.2100.NGB.JFHQ USPFO SC.USPFO SC PROC.W50S95,2027-05-19,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO SC.USPFO SC PROCUREMENT.W7NZ USPFO ACTIVITY SCANG 169,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/a62ceb14c4b3438ba7e7905900fc2f09/view,
Solicitation,"Fort Sam Houston National Cemetery, Phase 3 Expansion - Additional Road Repairs","San Antonio, Texas",,"$1,000,000 and $2,000,000 | $1,000,000 | $2,000,000",36C10F26B0001,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-30T14:00:00-04:00,2026-05-28,237310,237310,036.3600.36C10F,2026-07-15,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.OFFICE OF CONSTRUCTION &  FACILITIES MGMT (36C10F)",,Presolicitation,Yes,SDVOSBC,,OFFICE,https://sam.gov/workspace/contract/opp/bdf7be79b5194995a86699c576002b5a/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/10e75a06da654900928bbc101b5d197e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2bf70e9e8da243a08be7ee436fd953de/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5ef66ac42ee949e5832749540d67ea95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a1a4702f4c5b4237982f3e065b0c620e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a670178211474d1390a3d70094af68a0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d3a5dccda8c84f96afb518aee82d80a4/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fc5a0306206945c78e84035b0c6b3896/download']"
Solicitation,Marine Corps Base Camp Pendleton (MCBCP) Base Operations Support Contract (BOSC),"Oceanside, California",,$47 Million,N6247324R0036,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T14:00:00-07:00,2026-06-03,561210,561210,017.1700.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SW.N62473,2026-12-11,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SOUTHWEST SW.NAVFACSYSCOM SOUTHWEST,{'awardee': {'manual': False}},Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/d44ba75b3b8c41cca7155aafd82b40f1/view,
Solicitation,Facility Maintenance Management and Services,Not Specified,,,N6247326R0039,,Total Small Business Set-Aside (FAR 19.5),2026-05-15T14:00:00-07:00,2026-05-08,561210,561210,017.1700.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SW.N62473,2027-05-08,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SOUTHWEST SW.NAVFACSYSCOM SOUTHWEST,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/5eff9b9932dd4a1f9421c750318a2850/view,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/43d413d0c4f44852843c447b72b45ee3/download']
Solicitation,Z--Steel Pole Foundations IDIQ UGP/RMR,Not Specified,,,89503426BWA000064,,Total Small Business Set-Aside (FAR 19.5),2026-05-20T16:00:00-05:00,2026-05-12,237130,237130,089.8900.895034,2026-06-04,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/d1b838eb4c604737b79c1c17d0abfc0a/view,
Solicitation,63--PEARL - FY26 REPLACEMENT 6 FIRE ALARM PANELS,Not Specified,,,140P8226Q0038,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T14:30:00-04:00,2026-05-27,238210,238210,014.1443.140P97,2026-06-16,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.ALASKA REGIONAL OFFICE(97000)",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/a87e21f836f44d689865607ca1dc7328/view,
Solicitation,Parachute/ Airborne Boat and Dive Operations Services,"Camp Lejeune, North Carolina",,,M6700126Q0052,,Total Small Business Set-Aside (FAR 19.5),2026-05-20T13:00:00-04:00,2026-05-13,561210,561210,017.1700.USMC.MARCORP I&L.MCICOM.MCIEAST.M67001,2026-06-04,DEPT OF DEFENSE.DEPT OF THE NAVY.USMC.MARCORP I&L.MARINE CORPS INSTALLATIONS COMMAND.MCIEAST.COMMANDING GENERAL,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/d947ee5b1b1e4ed0ac4ff6bf6bf5d091/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1f79951d3cef4165a1c99e823e449e8e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4988754153f24605b9d651ced4f85901/download']"
Solicitation,Dorm Receptacles,"Goldsboro, North Carolina",,,FA480926Q0030,,Total Small Business Set-Aside (FAR 19.5),2026-05-21T10:00:00-04:00,2026-05-15,238210,238210,057.5700.ACC.FA4809,2026-06-05,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR COMBAT COMMAND.FA4809  4TH CONS SQ CC,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/cbbc1fe702e842b8b5cb8a8de504d25b/view,
Solicitation,LTUY252022 Repair B37 MTS by Removal,"Saint Louis, Missouri",,,W50S8K26QA001,,Total Small Business Set-Aside (FAR 19.5),2026-05-27T10:00:00-05:00,2026-05-20,238210,238210,021.2100.NGB.JFHQ USPFO MO.USPFO MO PROC.W50S8K,2026-06-11,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO MO.USPFO MO PROCUREMENT.W7NJ USPFO ACTIVITY MOANG 131,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/2d1da85a60d14f109bfc5572f9c5593a/view,
Solicitation,B-52J Commercial Engine Replacement Program Airfield Runway/Taxiway Light Removal and Replacement,"DWG, Texas",,,FA301626Q0118,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T11:00:00-05:00,2026-05-29,238210,238210,057.5700.AETC.JBSA.FA3016,2026-06-20,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.JOINT BASE SAN ANTONIO.FA3016  502 CONS CL,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/7a4aeccfe4c24c63967c0d0a374425a6/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4639ff31a9134d559e3e3fec4f7b165d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8526a8c54c25430b9c558569bf7f1a87/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8b1ac5b5b96747b8b5cb58109b5c2b5a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c7e05e080bd74f68ab7ab079bc8873e9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d874443d50244784b38019f4199ffc95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f7a4488348c2438f914b70f0177197cf/download']"
Solicitation,N--GC26 SCADA UPS REPLACEMENT,Not Specified,,,140R4026R0006,,Total Small Business Set-Aside (FAR 19.5),2026-05-26T07:00:00-04:00,2026-05-11,238210,238210,014.1425.140R40,2026-06-10,"INTERIOR, DEPARTMENT OF THE.BUREAU OF RECLAMATION.UPPER COLORADO REGIONAL OFFICE",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/968b8fbc09ec4feebd31083ee8e43694/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/03df14b34ac34dc4bd7630b17d217f66/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/145a7134ce6c47fb93344c1bc2f1dc3b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/268f24a8f3b8462ab2de2c24e5b71ea5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/468c53eaf7b84ce084ef15114cb6c836/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4888f13aa5614e9c9654ab39288286d7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4e1137c8b66345c39ffe03f2be452827/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5a870e531ccd4244918bb2a95c02a21a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6bcf0af746464a26a53b226f2d0e9341/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7fb501cdfd584545b06a1e6703989a14/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/829662b802a241a2bcb52ec42eac9a96/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8c008aba4c0044f3aeec8f67d6bb6493/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a0a93c3e3e354ab19ebbfc0be1ebc5dc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a190c61556bf46609f49f30d97ce6d44/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b19b6209e799420db145de312e0b470c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bb68df96f3cc47c4b5f7fb26ba25a980/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e3ed07714bee4753b8aa4a3c075930a5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ebadd86dfe45434da4a3142464208565/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fe3408325b5f48a1a477851fa79b8041/download']"
Solicitation,"Base Operations Support (BOS) Maintenance and Service Contract for Naval Air Facility (NAF), El Centro, CA",Not Specified,,,N6247326R0012,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T14:00:00-07:00,2026-05-27,561210,561210,017.1700.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SW.N62473,2027-05-27,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SOUTHWEST SW.NAVFACSYSCOM SOUTHWEST,,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/98a21ee39cca43fe9e4c197080602320/view,
Solicitation,Y--LAKE - TWO COMMUNICATIONS TOWER INSTALLATION AND O,Not Specified,,,140P8126B0003,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T14:00:00-07:00,2026-05-12,237130,237130,014.1443.140P81,2026-06-18,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR LAME(81000)",,Solicitation,Yes,SBA,,OFFICE,https://sam.gov/workspace/contract/opp/eb9720adecc64a7abaa7b370c533c314/view,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/47d0a120247d40189b3e4baf3093b713/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/493c7b89582949f0a624e47aecaf2324/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4c7d665fd4a745e4bda659506b28b536/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6b4de4ffa7c24b4c811e9f16a153ca79/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8389225186ed4722b93ae7504a31eb95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a148a407b9cd4a34b8ad86702ad6c1a6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/df05231d619c4eff87b22b8430b6428a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f24f56ea7dae4c578782c7ea71409148/download']"
